Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-3.9865561,-0.0046376595,-0.0043916535,-0.0042993426
-3.9724391,-0.0046138624,-0.0043096095,-0.0042355508
-3.8608294,-0.0046501886,-0.0043021934,-0.004242003
-3.8506091,-0.0046079354,-0.0042650979,-0.0042034686
-3.911592,-0.0045632832,-0.0043807691,-0.004206568
-3.9932859,-0.0045765787,-0.0043991581,-0.0042563528
-3.9870794,-0.0045600822,-0.0043628886,-0.0042258501
-3.9204507,-0.0045885649,-0.0042944355,-0.0042364299
-3.875982,-0.0045707757,-0.0043490408,-0.0042467713
-4.3696146,-0.0046928367,-0.0044198921,-0.0043816268
-6.0257931,-0.0053017084,-0.0049811294,-0.0049393028
-8.9171476,-0.0062765516,-0.00588788,-0.0059636235
-10.94,-0.0070562158,-0.0067080082,-0.0066436976
-12.719977,-0.007622093,-0.007363691,-0.0073245317
-14.699965,-0.0083123781,-0.0079832273,-0.0081367493
-16.867023,-0.0091703609,-0.0086993473,-0.0089559704
-18.85187,-0.0098187793,-0.0093214894,-0.0097392052
-20.619926,-0.010491194,-0.0099662589,-0.010523006
-22.385311,-0.011101943,-0.010653082,-0.011205435
-24.319731,-0.011805676,-0.011313213,-0.011948839
-26.54862,-0.012661286,-0.012043943,-0.012873575
-28.537214,-0.013442919,-0.012678236,-0.013650671
-30.425356,-0.014173673,-0.013326561,-0.014406309
-32.112869,-0.014810048,-0.014013191,-0.015089422
-34.015297,-0.015520385,-0.014480956,-0.015925288
-36.130211,-0.016339753,-0.015376935,-0.016744316
